Word	FREQcount	CDcount	FREQlow	Cdlow	SUBTLWF	Lg10WF	SUBTLCD	Lg10CD	syllable_count	stress_pattern
heterosexuality	11	10	11	10	0.22	1.0792	0.12	1.0414	8.0	20000100
counterrevolutionary	6	3	6	3	0.12	0.8451	0.04	0.6021	8.0	20001020
Deoxyribonucleic	2	2	0	0	0.04	0.4771	0.02	0.4771	8.0	02020010
epidemiological	2	2	2	2	0.04	0.4771	0.02	0.4771	8.0	20000100
totalitarianism	2	2	2	2	0.04	0.4771	0.02	0.4771	8.0	22010020
authoritarianism	1	1	1	1	0.02	0.301	0.01	0.301	8.0	02010020
institutionalization	1	1	1	1	0.02	0.301	0.01	0.301	8.0	00200010
