Word	FREQcount	CDcount	FREQlow	Cdlow	SUBTLWF	Lg10WF	SUBTLCD	Lg10CD	syllable_count
entertainment	640	480	536	425	12.55	2.8069	5.72	2.6821	4.0
operator	836	475	436	327	16.39	2.9227	5.66	2.6776	4.0
identity	662	474	642	464	12.98	2.8215	5.65	2.6767	4.0
relationships	609	474	556	447	11.94	2.7853	5.65	2.6767	4.0
technology	762	472	695	443	14.94	2.8825	5.63	2.6749	4.0
facility	723	470	670	447	14.18	2.8597	5.6	2.673	4.0
development	625	463	478	389	12.25	2.7966	5.52	2.6665	4.0
environment	652	461	638	453	12.78	2.8149	5.5	2.6646	4.0
combination	611	460	599	452	11.98	2.7868	5.48	2.6637	4.0
experiment	826	459	788	455	16.2	2.9175	5.47	2.6628	4.0
experienced	510	453	499	443	10.0	2.7084	5.4	2.6571	4.0
helicopter	806	450	745	422	15.8	2.9069	5.36	2.6542	4.0
generation	619	444	598	436	12.14	2.7924	5.29	2.6484	4.0
separated	540	444	523	433	10.59	2.7332	5.29	2.6484	4.0
specifically	524	443	444	381	10.27	2.7202	5.28	2.6474	4.0
celebrating	532	441	507	424	10.43	2.7267	5.26	2.6454	4.0
consequences	539	437	523	429	10.57	2.7324	5.21	2.6415	4.0
adorable	537	436	504	409	10.53	2.7308	5.2	2.6405	4.0
operating	582	436	558	424	11.41	2.7657	5.2	2.6405	4.0
medication	652	435	632	426	12.78	2.8149	5.19	2.6395	4.0
analysis	563	432	524	411	11.04	2.7513	5.15	2.6365	4.0
whatsoever	470	424	461	419	9.22	2.673	5.05	2.6284	4.0
identified	524	423	517	418	10.27	2.7202	5.04	2.6274	4.0
operations	600	419	474	353	11.76	2.7789	5.0	2.6232	4.0
priority	519	419	481	395	10.18	2.716	5.0	2.6232	4.0
physically	471	415	421	375	9.24	2.6739	4.95	2.6191	4.0
celebration	504	412	479	399	9.88	2.7033	4.91	2.616	4.0
cooperate	528	411	504	394	10.35	2.7235	4.9	2.6149	4.0
alternative	476	407	462	398	9.33	2.6785	4.85	2.6107	4.0
executive	541	394	450	339	10.61	2.734	4.7	2.5966	4.0
invisible	630	394	589	376	12.35	2.8	4.7	2.5966	4.0
unexpected	448	391	431	377	8.78	2.6522	4.66	2.5933	4.0
testimony	752	388	742	385	14.75	2.8768	4.63	2.5899	4.0
investigate	483	387	459	372	9.47	2.6848	4.61	2.5888	4.0
vulnerable	437	387	425	382	8.57	2.6415	4.61	2.5888	4.0
apologies	449	386	420	364	8.8	2.6532	4.6	2.5877	4.0
scientific	580	386	549	365	11.37	2.7642	4.6	2.5877	4.0
Fortunately	444	384	100	93	8.71	2.6484	4.58	2.5855	4.0
psychiatrist	615	376	604	373	12.06	2.7896	4.48	2.5763	4.0
associate	458	375	434	364	8.98	2.6618	4.47	2.5752	4.0
independent	477	373	445	353	9.35	2.6794	4.45	2.5729	4.0
dedicated	416	370	394	354	8.16	2.6201	4.41	2.5694	4.0
generally	424	367	355	313	8.31	2.6284	4.38	2.5658	4.0
conspiracy	526	364	485	341	10.31	2.7218	4.34	2.5623	4.0
population	464	364	434	338	9.1	2.6675	4.34	2.5623	4.0
reservation	526	364	506	356	10.31	2.7218	4.34	2.5623	4.0
publicity	534	361	500	349	10.47	2.7284	4.3	2.5587	4.0
application	510	354	503	351	10.0	2.7084	4.22	2.5502	4.0
activities	439	353	431	347	8.61	2.6435	4.21	2.549	4.0
humanity	495	353	467	337	9.71	2.6955	4.21	2.549	4.0
interrupting	391	352	384	345	7.67	2.5933	4.2	2.5478	4.0
traditional	415	346	391	327	8.14	2.6191	4.12	2.5403	4.0
Academy	633	345	284	156	12.41	2.8021	4.11	2.5391	4.0
communicate	434	338	419	334	8.51	2.6385	4.03	2.5302	4.0
discovery	584	337	416	289	11.45	2.7672	4.02	2.5289	4.0
capacity	413	332	406	329	8.1	2.617	3.96	2.5224	4.0
graduated	395	332	364	308	7.75	2.5977	3.96	2.5224	4.0
undercover	598	330	522	312	11.73	2.7774	3.93	2.5198	4.0
retirement	431	326	403	310	8.45	2.6355	3.89	2.5145	4.0
Elizabeth	1160	324	1	1	22.75	3.0648	3.86	2.5119	4.0
philosophy	422	324	393	308	8.27	2.6263	3.86	2.5119	4.0
anonymous	429	323	358	286	8.41	2.6335	3.85	2.5105	4.0
revolution	629	323	473	256	12.33	2.7993	3.85	2.5105	4.0
sexually	442	321	417	304	8.67	2.6464	3.83	2.5079	4.0
observation	380	318	354	301	7.45	2.5809	3.79	2.5038	4.0
spiritual	453	318	432	312	8.88	2.6571	3.79	2.5038	4.0
institution	396	317	390	312	7.76	2.5988	3.78	2.5024	4.0
situations	362	317	351	306	7.1	2.5599	3.78	2.5024	4.0
electrical	440	314	393	291	8.63	2.6444	3.74	2.4983	4.0
perimeter	461	311	425	295	9.04	2.6646	3.71	2.4942	4.0
proposition	402	310	388	299	7.88	2.6053	3.7	2.4928	4.0
congratulate	358	309	326	284	7.02	2.5551	3.68	2.4914	4.0
hysterical	362	304	335	290	7.1	2.5599	3.62	2.4843	4.0
legitimate	384	304	374	297	7.53	2.5855	3.62	2.4843	4.0
satisfaction	355	304	339	297	6.96	2.5514	3.62	2.4843	4.0
emotionally	354	302	323	281	6.94	2.5502	3.6	2.4814	4.0
eternity	407	301	381	287	7.98	2.6107	3.59	2.48	4.0
certificate	458	297	444	288	8.98	2.6618	3.54	2.4742	4.0
violation	385	297	362	289	7.55	2.5866	3.54	2.4742	4.0
inspiration	362	289	348	281	7.1	2.5599	3.45	2.4624	4.0
photographer	465	288	427	272	9.12	2.6684	3.43	2.4609	4.0
insanity	391	287	370	276	7.67	2.5933	3.42	2.4594	4.0
sentimental	359	287	323	269	7.04	2.5563	3.42	2.4594	4.0
integrity	367	286	357	282	7.2	2.5658	3.41	2.4579	4.0
graduation	500	282	440	269	9.8	2.6998	3.36	2.4518	4.0
executed	381	281	372	277	7.47	2.5821	3.35	2.4502	4.0
significant	331	281	324	276	6.49	2.5211	3.35	2.4502	4.0
obligation	344	280	341	278	6.75	2.5378	3.34	2.4487	4.0
execution	497	279	471	262	9.75	2.6972	3.33	2.4472	4.0
European	360	278	4	4	7.06	2.5575	3.31	2.4456	4.0
positively	310	278	248	224	6.08	2.4928	3.31	2.4456	4.0
confidential	342	276	307	254	6.71	2.5353	3.29	2.4425	4.0
additional	300	274	281	258	5.88	2.4786	3.27	2.4393	4.0
automatic	356	274	315	245	6.98	2.5527	3.27	2.4393	4.0
cemetery	443	273	393	242	8.69	2.6474	3.25	2.4378	4.0
celebrity	372	272	321	248	7.29	2.5717	3.24	2.4362	4.0
differences	305	272	300	268	5.98	2.4857	3.24	2.4362	4.0
reliable	301	272	290	262	5.9	2.48	3.24	2.4362	4.0
altogether	327	269	307	255	6.41	2.5159	3.21	2.4314	4.0
demonstration	366	269	362	266	7.18	2.5647	3.21	2.4314	4.0
Arizona	564	268	1	1	11.06	2.752	3.2	2.4298	4.0
desperately	297	267	276	251	5.82	2.4742	3.18	2.4281	4.0
anxiety	345	265	322	260	6.76	2.5391	3.16	2.4249	4.0
reservations	327	265	315	260	6.41	2.5159	3.16	2.4249	4.0
scenario	319	265	305	261	6.25	2.5051	3.16	2.4249	4.0
Evidently	298	264	118	112	5.84	2.4757	3.15	2.4232	4.0
isolated	310	264	290	252	6.08	2.4928	3.15	2.4232	4.0
casualties	373	263	348	253	7.31	2.5729	3.14	2.4216	4.0
generations	305	263	300	259	5.98	2.4857	3.14	2.4216	4.0
honorable	369	263	275	216	7.24	2.5682	3.14	2.4216	4.0
entertaining	288	261	277	251	5.65	2.4609	3.11	2.4183	4.0
corporation	393	260	248	179	7.71	2.5955	3.1	2.4166	4.0
presentation	368	260	357	253	7.22	2.567	3.1	2.4166	4.0
importantly	278	259	278	259	5.45	2.4456	3.09	2.415	4.0
difficulty	285	258	282	256	5.59	2.4564	3.08	2.4133	4.0
