Word	FREQcount	CDcount	FREQlow	Cdlow	SUBTLWF	Lg10WF	SUBTLCD	Lg10CD	syllable_count
Shh	2810	1245	521	254	55.1	3.4489	14.84	3.0955	0.0
Mmmm	43	35	0	0	0.84	1.6435	0.42	1.5563	0.0
Fs	11	6	0	0	0.22	1.0792	0.07	0.8451	0.0
