Word	FREQcount	CDcount	FREQlow	Cdlow	SUBTLWF	Lg10WF	SUBTLCD	Lg10CD	syllable_count
about	185206	8321	179962	8313	3631.49	5.2677	99.2	3.9202	2.0
going	108288	8238	106853	8235	2123.29	5.0346	98.21	3.9159	2.0
something	76508	8231	69678	8203	1500.16	4.8837	98.13	3.9155	2.0
over	67488	8171	63199	8142	1323.29	4.8292	97.41	3.9123	2.0
never	69490	8158	61882	8103	1362.55	4.8419	97.26	3.9116	2.0
only	55269	8118	48650	8048	1083.71	4.7425	96.78	3.9095	2.0
our	71425	8113	63788	8043	1400.49	4.8539	96.72	3.9092	2.0
little	73766	8072	69783	8051	1446.39	4.8679	96.23	3.907	2.0
any	56068	8049	49853	7974	1099.37	4.7487	95.96	3.9058	2.0
really	76508	7956	63382	7861	1500.16	4.8837	94.85	3.9007	2.0
doing	52492	7954	51900	7950	1029.25	4.7201	94.83	3.9006	2.0
even	44672	7931	38346	7775	875.92	4.65	94.55	3.8994	2.0
sorry	59566	7923	43411	7595	1167.96	4.775	94.46	3.8989	2.0
before	40501	7914	37297	7815	794.14	4.6075	94.35	3.8985	2.0
because	54622	7910	35833	7430	1071.02	4.7374	94.3	3.8982	2.0
people	56252	7889	50482	7791	1102.98	4.7501	94.05	3.8971	2.0
into	43074	7876	42661	7868	844.59	4.6342	93.9	3.8964	2.0
very	63304	7863	54294	7709	1241.25	4.8014	93.74	3.8956	2.0
again	40428	7852	39144	7815	792.71	4.6067	93.61	3.895	2.0
nothing	43534	7851	29680	7375	853.61	4.6388	93.6	3.895	2.0
better	40494	7814	37426	7756	794.0	4.6074	93.16	3.8929	2.0
other	37505	7738	36688	7709	735.39	4.5741	92.25	3.8887	2.0
Maybe	47249	7737	18779	6368	926.45	4.6744	92.24	3.8886	2.0
after	34812	7645	27459	7337	682.59	4.5417	91.14	3.8834	2.0
away	37276	7580	36915	7567	730.9	4.5714	90.37	3.8797	2.0
around	37573	7563	37074	7548	736.73	4.5749	90.16	3.8788	2.0
ever	36170	7513	34138	7436	709.22	4.5584	89.57	3.8759	2.0
always	33418	7495	31224	7415	655.25	4.524	89.35	3.8748	2.0
believe	31882	7412	30102	7314	625.14	4.5036	88.36	3.87	2.0
coming	26878	7173	25061	7082	527.02	4.4294	85.52	3.8558	2.0
enough	25568	7159	23968	7057	501.33	4.4077	85.35	3.8549	2.0
getting	24719	7120	23513	7034	484.69	4.393	84.88	3.8525	2.0
being	24781	7083	23724	7019	485.9	4.3941	84.44	3.8503	2.0
wanted	25616	7039	25370	7013	502.27	4.4085	83.92	3.8476	2.0
gonna	101804	7021	100835	7010	1996.16	5.0078	83.7	3.8465	2.0
Listen	27784	6965	12674	5369	544.78	4.4438	83.04	3.843	2.0
happened	24994	6952	24907	6940	490.08	4.3979	82.88	3.8422	2.0
talking	25385	6952	24944	6924	497.75	4.4046	82.88	3.8422	2.0
looking	22066	6841	20932	6743	432.67	4.3437	81.56	3.8352	2.0
trying	22849	6841	22042	6764	448.02	4.3589	81.56	3.8352	2.0
yourself	22151	6802	22092	6799	434.33	4.3454	81.09	3.8327	2.0
someone	22752	6749	18537	6387	446.12	4.357	80.46	3.8293	2.0
today	22124	6570	19725	6367	433.8	4.3449	78.33	3.8176	2.0
without	18087	6512	16187	6282	354.65	4.2574	77.63	3.8138	2.0
haven	18844	6421	17293	6253	369.49	4.2752	76.55	3.8077	2.0
Hello	29857	6405	3228	2089	585.43	4.4751	76.36	3.8066	2.0
ready	19778	6398	16707	6105	387.8	4.2962	76.28	3.8061	2.0
pretty	20003	6344	17430	6076	392.22	4.3011	75.63	3.8024	2.0
myself	17470	6328	17347	6313	342.55	4.2423	75.44	3.8013	2.0
Okay	102320	6322	40017	5711	2006.27	5.01	75.37	3.8009	2.0
many	18331	6297	17336	6219	359.43	4.2632	75.07	3.7992	2.0
matter	18900	6242	18687	6217	370.59	4.2765	74.42	3.7954	2.0
Mr	60098	6159	191	78	1178.39	4.7789	73.43	3.7896	2.0
until	15426	6129	13619	5812	302.47	4.1883	73.07	3.7875	2.0
minute	19252	6066	19204	6057	377.49	4.2845	72.32	3.783	2.0
morning	22389	6055	19916	5904	439.0	4.3501	72.19	3.7822	2.0
Excuse	18773	6042	4153	2872	368.1	4.2736	72.03	3.7813	2.0
later	14889	5951	13588	5738	291.94	4.1729	70.95	3.7747	2.0
woman	22166	5925	20418	5744	434.63	4.3457	70.64	3.7728	2.0
alone	15735	5920	15212	5872	308.53	4.1969	70.58	3.7724	2.0
having	14752	5879	13957	5734	289.25	4.1689	70.09	3.7694	2.0
problem	16833	5872	16547	5840	330.06	4.2262	70.0	3.7689	2.0
ago	14592	5851	14580	5847	286.12	4.1641	69.75	3.7673	2.0
open	16341	5847	12221	5286	320.41	4.2133	69.71	3.767	2.0
saying	14874	5819	14733	5803	291.65	4.1725	69.37	3.7649	2.0
tonight	21047	5748	18906	5569	412.69	4.3232	68.53	3.7596	2.0
second	14513	5734	13210	5498	284.57	4.1618	68.36	3.7585	2.0
worry	14638	5727	14549	5716	287.02	4.1655	68.28	3.758	2.0
thinking	14353	5707	14047	5674	281.43	4.157	68.04	3.7565	2.0
happen	12968	5673	12938	5668	254.27	4.1129	67.63	3.7539	2.0
forget	14130	5661	9985	4831	277.06	4.1502	67.49	3.753	2.0
money	32679	5647	31545	5609	640.76	4.5143	67.32	3.7519	2.0
taking	12263	5641	11683	5508	240.45	4.0886	67.25	3.7514	2.0
under	13358	5576	12475	5447	261.92	4.1258	66.48	3.7464	2.0
mother	24476	5556	19376	5299	479.92	4.3888	66.24	3.7448	2.0
happy	16993	5531	13664	5202	333.2	4.2303	65.94	3.7429	2.0
aren	11946	5475	8871	4771	234.24	4.0773	65.27	3.7385	2.0
supposed	12865	5464	12755	5444	252.25	4.1094	65.14	3.7376	2.0
father	28279	5446	21688	5139	554.49	4.4515	64.93	3.7362	2.0
making	11349	5422	10718	5293	222.53	4.055	64.64	3.7342	2.0
easy	13551	5385	10851	5022	265.71	4.132	64.2	3.7313	2.0
working	12775	5370	12285	5275	250.49	4.1064	64.02	3.7301	2.0
gotta	25852	5221	24560	5128	506.9	4.4125	62.24	3.7178	2.0
minutes	13924	5208	13850	5196	273.02	4.1438	62.09	3.7168	2.0
business	16371	5186	15850	5136	321.0	4.2141	61.83	3.7149	2.0
baby	25978	5088	22729	4918	509.37	4.4146	60.66	3.7066	2.0
crazy	13886	5039	13059	4950	272.27	4.1426	60.07	3.7024	2.0
couple	11394	4989	10892	4873	223.41	4.0567	59.48	3.6981	2.0
either	9308	4986	8023	4590	182.51	3.9689	59.44	3.6978	2.0
waiting	10767	4980	10338	4897	211.12	4.0321	59.37	3.6973	2.0
almost	9857	4950	8491	4568	193.27	3.9938	59.01	3.6947	2.0
afraid	12631	4944	12167	4875	247.67	4.1015	58.94	3.6942	2.0
hours	10959	4859	10899	4849	214.88	4.0398	57.93	3.6866	2.0
telling	9730	4837	9559	4803	190.78	3.9882	57.67	3.6847	2.0
reason	9858	4828	9783	4805	193.29	3.9938	57.56	3.6839	2.0
inside	10775	4811	10252	4715	211.27	4.0325	57.36	3.6823	2.0
trouble	11401	4785	11010	4724	223.55	4.057	57.05	3.68	2.0
also	10528	4765	9336	4461	206.43	4.0224	56.81	3.6782	2.0
behind	9581	4729	9093	4630	187.86	3.9815	56.38	3.6749	2.0
started	9566	4727	9440	4695	187.57	3.9808	56.35	3.6747	2.0
ahead	10115	4726	10049	4716	198.33	4.005	56.34	3.6746	2.0
person	10857	4712	10784	4688	212.88	4.0357	56.18	3.6733	2.0
funny	11127	4659	10115	4421	218.18	4.0464	55.54	3.6684	2.0
between	8932	4654	8431	4504	175.14	3.951	55.48	3.6679	2.0
wanna	25796	4611	24276	4493	505.8	4.4116	54.97	3.6639	2.0
question	10116	4587	9854	4528	198.35	4.0051	54.69	3.6616	2.0
number	12288	4542	10586	4332	240.94	4.0895	54.15	3.6573	2.0
against	10288	4528	9977	4466	201.73	4.0124	53.98	3.656	2.0
welcome	9140	4499	4954	3160	179.22	3.961	53.64	3.6532	2.0
outside	8671	4429	8207	4324	170.02	3.9381	52.8	3.6464	2.0
sometimes	9129	4393	4952	3087	179.0	3.9605	52.37	3.6429	2.0
moment	9539	4391	9482	4374	187.04	3.9795	52.35	3.6427	2.0
answer	8986	4344	8076	4105	176.2	3.9536	51.79	3.638	2.0
feeling	8577	4344	8180	4232	168.18	3.9334	51.79	3.638	2.0
hour	8277	4343	8175	4323	162.29	3.9179	51.78	3.6379	2.0
along	9330	4314	9089	4242	182.94	3.9699	51.43	3.635	2.0
able	8155	4285	8048	4258	159.9	3.9115	51.08	3.6321	2.0
stupid	9405	4276	8456	4059	184.41	3.9734	50.98	3.6311	2.0
running	8054	4268	7692	4180	157.92	3.9061	50.88	3.6303	2.0
story	11260	4265	11048	4208	220.78	4.0516	50.85	3.63	2.0
honey	15325	4185	9954	3549	300.49	4.1854	49.89	3.6218	2.0
lady	11071	4129	8981	3792	217.08	4.0442	49.23	3.616	2.0
water	11478	4127	10619	3999	225.06	4.0599	49.2	3.6157	2.0
living	7983	4108	7628	4027	156.53	3.9022	48.97	3.6137	2.0
happens	6996	4060	6872	4005	137.18	3.8449	48.4	3.6086	2.0
taken	7071	4027	6935	3985	138.65	3.8495	48.01	3.6051	2.0
office	10399	3975	9913	3902	203.9	4.017	47.39	3.5994	2.0
leaving	7211	3962	6921	3869	141.39	3.8581	47.23	3.598	2.0
body	9972	3961	9740	3912	195.53	3.9988	47.22	3.5979	2.0
dinner	10336	3958	9643	3853	202.67	4.0144	47.19	3.5976	2.0
married	12163	3952	11776	3890	238.49	4.0851	47.11	3.5969	2.0
fire	10990	3948	9099	3704	215.49	4.041	47.07	3.5965	2.0
perfect	8091	3915	6687	3502	158.65	3.9081	46.67	3.5928	2.0
special	7577	3885	6616	3629	148.57	3.8796	46.32	3.5895	2.0
lucky	7316	3874	6089	3550	143.45	3.8643	46.19	3.5883	2.0
promise	7809	3874	6857	3687	153.12	3.8927	46.19	3.5883	2.0
asking	6546	3849	6452	3818	128.35	3.816	45.89	3.5855	2.0
women	9978	3827	8801	3599	195.65	3.9991	45.62	3.583	2.0
order	7985	3825	7264	3695	156.57	3.9023	45.6	3.5827	2.0
brother	14481	3795	12937	3681	283.94	4.1608	45.24	3.5793	2.0
himself	7168	3749	7122	3737	140.55	3.8555	44.69	3.574	2.0
alive	7878	3735	7714	3704	154.47	3.8965	44.53	3.5724	2.0
party	11890	3724	11254	3620	233.14	4.0752	44.4	3.5711	2.0
playing	7515	3707	7144	3584	147.35	3.876	44.19	3.5691	2.0
doctor	13461	3703	9101	3267	263.94	4.1291	44.15	3.5687	2.0
kidding	6822	3698	6694	3662	133.76	3.834	44.09	3.5681	2.0
